Player 1,Player 2,Score 1,Score 2
TidemanAndChieruzzi,Davis,915,910
TidemanAndChieruzzi,DefectTitForTat,308,308
TidemanAndChieruzzi,Feld,352,352
TidemanAndChieruzzi,Friedman,915,910
TidemanAndChieruzzi,GraaskampStrategy,916,896
TidemanAndChieruzzi,GrofmanStrategy,915,910
TidemanAndChieruzzi,Grudger,915,910
TidemanAndChieruzzi,HarringtonStrategy,915,910
TidemanAndChieruzzi,JossStrategy,386,391
TidemanAndChieruzzi,Malthrin,915,910
TidemanAndChieruzzi,MiniMax,304,309
TidemanAndChieruzzi,NameWithheld,319,309
TidemanAndChieruzzi,RandomStrategy,821,361
TidemanAndChieruzzi,TitForTat,915,910
Davis,DefectTitForTat,328,328
Davis,Feld,372,372
Davis,Friedman,915,915
Davis,GraaskampStrategy,446,401
Davis,GrofmanStrategy,915,915
Davis,Grudger,915,915
Davis,HarringtonStrategy,325,330
Davis,JossStrategy,328,328
Davis,Malthrin,915,915
Davis,MiniMax,294,349
Davis,NameWithheld,322,337
Davis,RandomStrategy,883,193
Davis,TitForTat,915,915
DefectTitForTat,Feld,365,365
DefectTitForTat,Friedman,308,308
DefectTitForTat,GraaskampStrategy,389,389
DefectTitForTat,GrofmanStrategy,882,877
DefectTitForTat,Grudger,308,308
DefectTitForTat,HarringtonStrategy,917,912
DefectTitForTat,JossStrategy,320,320
DefectTitForTat,Malthrin,308,308
DefectTitForTat,MiniMax,305,305
DefectTitForTat,NameWithheld,318,318
DefectTitForTat,RandomStrategy,711,706
DefectTitForTat,TitForTat,765,760
Feld,Friedman,348,348
Feld,GraaskampStrategy,407,402
Feld,GrofmanStrategy,864,549
Feld,Grudger,350,350
Feld,HarringtonStrategy,318,318
Feld,JossStrategy,352,352
Feld,Malthrin,348,348
Feld,MiniMax,304,309
Feld,NameWithheld,312,317
Feld,RandomStrategy,728,498
Feld,TitForTat,371,366
Friedman,GraaskampStrategy,446,401
Friedman,GrofmanStrategy,915,915
Friedman,Grudger,915,915
Friedman,HarringtonStrategy,915,915
Friedman,JossStrategy,310,310
Friedman,Malthrin,915,915
Friedman,MiniMax,304,309
Friedman,NameWithheld,316,306
Friedman,RandomStrategy,896,161
Friedman,TitForTat,915,915
GraaskampStrategy,GrofmanStrategy,902,917
GraaskampStrategy,Grudger,401,446
GraaskampStrategy,HarringtonStrategy,401,441
GraaskampStrategy,JossStrategy,354,359
GraaskampStrategy,Malthrin,401,446
GraaskampStrategy,MiniMax,304,309
GraaskampStrategy,NameWithheld,310,315
GraaskampStrategy,RandomStrategy,882,252
GraaskampStrategy,TitForTat,912,912
GrofmanStrategy,Grudger,915,915
GrofmanStrategy,HarringtonStrategy,910,915
GrofmanStrategy,JossStrategy,748,853
GrofmanStrategy,Malthrin,915,915
GrofmanStrategy,MiniMax,127,1017
GrofmanStrategy,NameWithheld,130,1015
GrofmanStrategy,RandomStrategy,623,828
GrofmanStrategy,TitForTat,915,915
Grudger,HarringtonStrategy,312,307
Grudger,JossStrategy,310,310
Grudger,Malthrin,915,915
Grudger,MiniMax,304,309
Grudger,NameWithheld,316,306
Grudger,RandomStrategy,870,175
Grudger,TitForTat,915,915
HarringtonStrategy,JossStrategy,310,310
HarringtonStrategy,Malthrin,915,915
HarringtonStrategy,MiniMax,305,305
HarringtonStrategy,NameWithheld,315,310
HarringtonStrategy,RandomStrategy,888,163
HarringtonStrategy,TitForTat,915,915
JossStrategy,Malthrin,322,322
JossStrategy,MiniMax,304,309
JossStrategy,NameWithheld,307,312
JossStrategy,RandomStrategy,710,645
JossStrategy,TitForTat,354,349
Malthrin,MiniMax,304,309
Malthrin,NameWithheld,318,308
Malthrin,RandomStrategy,956,146
Malthrin,TitForTat,915,915
MiniMax,NameWithheld,309,304
MiniMax,RandomStrategy,921,151
MiniMax,TitForTat,309,304
NameWithheld,RandomStrategy,930,160
NameWithheld,TitForTat,315,310
RandomStrategy,TitForTat,681,681
,,,
final score,GrofmanStrategy,10366,
final score,TitForTat,10082,
final score,TidemanAndChieruzzi,9811,
final score,Malthrin,9402,
final score,Friedman,9328,
final score,Davis,8783,
final score,Grudger,8701,
final score,HarringtonStrategy,8696,
final score,GraaskampStrategy,7356,
final score,DefectTitForTat,6532,
final score,Feld,5791,
final score,NameWithheld,5702,
final score,MiniMax,5678,
final score,JossStrategy,5530,
final score,RandomStrategy,5120,
