Player 1,Player 2,Score 1,Score 2
TidemanAndChieruzzi,Davis,3915,3910
TidemanAndChieruzzi,DefectTitForTat,1308,1308
TidemanAndChieruzzi,Feld,1404,1409
TidemanAndChieruzzi,Friedman,3915,3910
TidemanAndChieruzzi,GraaskampStrategy,3916,3896
TidemanAndChieruzzi,GrofmanStrategy,3915,3910
TidemanAndChieruzzi,Grudger,3915,3910
TidemanAndChieruzzi,HarringtonStrategy,3915,3910
TidemanAndChieruzzi,JossStrategy,1350,1350
TidemanAndChieruzzi,Malthrin,3915,3910
TidemanAndChieruzzi,MiniMax,1304,1309
TidemanAndChieruzzi,NameWithheld,1320,1320
TidemanAndChieruzzi,RandomStrategy,3633,1388
TidemanAndChieruzzi,TitForTat,3915,3910
Davis,DefectTitForTat,1328,1328
Davis,Feld,1438,1438
Davis,Friedman,3915,3915
Davis,GraaskampStrategy,1446,1401
Davis,GrofmanStrategy,3915,3915
Davis,Grudger,3915,3915
Davis,HarringtonStrategy,1328,1328
Davis,JossStrategy,1328,1328
Davis,Malthrin,3915,3915
Davis,MiniMax,1294,1349
Davis,NameWithheld,1339,1329
Davis,RandomStrategy,3937,682
Davis,TitForTat,3915,3915
DefectTitForTat,Feld,1344,1344
DefectTitForTat,Friedman,1308,1308
DefectTitForTat,GraaskampStrategy,1389,1389
DefectTitForTat,GrofmanStrategy,3917,3912
DefectTitForTat,Grudger,1308,1308
DefectTitForTat,HarringtonStrategy,1305,1305
DefectTitForTat,JossStrategy,1389,1389
DefectTitForTat,Malthrin,1308,1308
DefectTitForTat,MiniMax,1305,1305
DefectTitForTat,NameWithheld,1310,1310
DefectTitForTat,RandomStrategy,2960,2960
DefectTitForTat,TitForTat,3265,3260
Feld,Friedman,1379,1374
Feld,GraaskampStrategy,1354,1349
Feld,GrofmanStrategy,3724,1984
Feld,Grudger,1420,1420
Feld,HarringtonStrategy,1386,1386
Feld,JossStrategy,1370,1370
Feld,Malthrin,1360,1360
Feld,MiniMax,1304,1309
Feld,NameWithheld,1311,1316
Feld,RandomStrategy,3590,1940
Feld,TitForTat,1365,1360
Friedman,GraaskampStrategy,1446,1401
Friedman,GrofmanStrategy,3915,3915
Friedman,Grudger,3915,3915
Friedman,HarringtonStrategy,1312,1307
Friedman,JossStrategy,1312,1312
Friedman,Malthrin,3915,3915
Friedman,MiniMax,1304,1309
Friedman,NameWithheld,1320,1305
Friedman,RandomStrategy,3940,660
Friedman,TitForTat,3915,3915
GraaskampStrategy,GrofmanStrategy,3917,3912
GraaskampStrategy,Grudger,1401,1446
GraaskampStrategy,HarringtonStrategy,1401,1446
GraaskampStrategy,JossStrategy,1396,1396
GraaskampStrategy,Malthrin,1401,1446
GraaskampStrategy,MiniMax,1304,1309
GraaskampStrategy,NameWithheld,1313,1318
GraaskampStrategy,RandomStrategy,3858,748
GraaskampStrategy,TitForTat,3912,3912
GrofmanStrategy,Grudger,3915,3915
GrofmanStrategy,HarringtonStrategy,3915,3915
GrofmanStrategy,JossStrategy,3145,3650
GrofmanStrategy,Malthrin,3915,3915
GrofmanStrategy,MiniMax,555,4305
GrofmanStrategy,NameWithheld,561,4366
GrofmanStrategy,RandomStrategy,2673,3578
GrofmanStrategy,TitForTat,3915,3915
Grudger,HarringtonStrategy,1312,1307
Grudger,JossStrategy,1324,1324
Grudger,Malthrin,3915,3915
Grudger,MiniMax,1304,1309
Grudger,NameWithheld,1312,1307
Grudger,RandomStrategy,3984,639
Grudger,TitForTat,3915,3915
HarringtonStrategy,JossStrategy,1328,1328
HarringtonStrategy,Malthrin,1308,1308
HarringtonStrategy,MiniMax,1304,1309
HarringtonStrategy,NameWithheld,1312,1307
HarringtonStrategy,RandomStrategy,3719,709
HarringtonStrategy,TitForTat,3915,3915
JossStrategy,Malthrin,1334,1334
JossStrategy,MiniMax,1304,1309
JossStrategy,NameWithheld,1316,1316
JossStrategy,RandomStrategy,2970,2670
JossStrategy,TitForTat,1376,1371
Malthrin,MiniMax,1304,1309
Malthrin,NameWithheld,1310,1310
Malthrin,RandomStrategy,3898,668
Malthrin,TitForTat,3915,3915
MiniMax,NameWithheld,1325,1300
MiniMax,RandomStrategy,3825,675
MiniMax,TitForTat,1309,1304
NameWithheld,RandomStrategy,4011,636
NameWithheld,TitForTat,1319,1314
RandomStrategy,TitForTat,2929,2929
,,,
final score,GrofmanStrategy,44142,
final score,TitForTat,42850,
final score,TidemanAndChieruzzi,41640,
final score,Davis,36923,
final score,Grudger,36895,
final score,Friedman,36801,
final score,Malthrin,36753,
final score,GraaskampStrategy,29339,
final score,HarringtonStrategy,28790,
final score,DefectTitForTat,24744,
final score,NameWithheld,24134,
final score,MiniMax,23890,
final score,Feld,23754,
final score,JossStrategy,22747,
final score,RandomStrategy,20882,
