Player 1,Player 2,Score 1,Score 2
TidemanAndChieruzzi,AlwaysCoop,4219,4209
TidemanAndChieruzzi,AlwaysDefect,1404,1409
TidemanAndChieruzzi,Davis,4215,4210
TidemanAndChieruzzi,DefectTitForTat,1408,1408
TidemanAndChieruzzi,Feld,1428,1428
TidemanAndChieruzzi,Friedman,4215,4210
TidemanAndChieruzzi,GraaskampStrategy,4216,4196
TidemanAndChieruzzi,GrofmanStrategy,4219,4209
TidemanAndChieruzzi,Grudger,4215,4210
TidemanAndChieruzzi,HarringtonStrategy,4215,4210
TidemanAndChieruzzi,JossStrategy,1410,1415
TidemanAndChieruzzi,Malthrin,4215,4210
TidemanAndChieruzzi,MaxMax,1404,1409
TidemanAndChieruzzi,MiniMax,1404,1409
TidemanAndChieruzzi,NameWithheld,1418,1413
TidemanAndChieruzzi,RandomStrategy,3935,1270
TidemanAndChieruzzi,TitForTat,4215,4210
AlwaysCoop,AlwaysDefect,0,7025
AlwaysCoop,Davis,4215,4215
AlwaysCoop,DefectTitForTat,4212,4217
AlwaysCoop,Feld,2235,5535
AlwaysCoop,Friedman,4215,4215
AlwaysCoop,GraaskampStrategy,4212,4217
AlwaysCoop,GrofmanStrategy,4215,4215
AlwaysCoop,Grudger,4215,4215
AlwaysCoop,HarringtonStrategy,4215,4215
AlwaysCoop,JossStrategy,3837,4467
AlwaysCoop,Malthrin,4215,4215
AlwaysCoop,MaxMax,0,7025
AlwaysCoop,MiniMax,0,7025
AlwaysCoop,NameWithheld,33,7003
AlwaysCoop,RandomStrategy,2208,5553
AlwaysCoop,TitForTat,4215,4215
AlwaysDefect,Davis,1449,1394
AlwaysDefect,DefectTitForTat,1405,1405
AlwaysDefect,Feld,1409,1404
AlwaysDefect,Friedman,1409,1404
AlwaysDefect,GraaskampStrategy,1409,1404
AlwaysDefect,GrofmanStrategy,4645,595
AlwaysDefect,Grudger,1409,1404
AlwaysDefect,HarringtonStrategy,1413,1403
AlwaysDefect,JossStrategy,1409,1404
AlwaysDefect,Malthrin,1409,1404
AlwaysDefect,MaxMax,1405,1405
AlwaysDefect,MiniMax,1405,1405
AlwaysDefect,NameWithheld,1413,1403
AlwaysDefect,RandomStrategy,4157,717
AlwaysDefect,TitForTat,1409,1404
Davis,DefectTitForTat,1428,1428
Davis,Feld,1468,1468
Davis,Friedman,4215,4215
Davis,GraaskampStrategy,1546,1501
Davis,GrofmanStrategy,4215,4215
Davis,Grudger,4215,4215
Davis,HarringtonStrategy,1425,1430
Davis,JossStrategy,1428,1428
Davis,Malthrin,4215,4215
Davis,MaxMax,1394,1449
Davis,MiniMax,1394,1449
Davis,NameWithheld,1418,1438
Davis,RandomStrategy,4299,714
Davis,TitForTat,4215,4215
DefectTitForTat,Feld,1414,1414
DefectTitForTat,Friedman,1408,1408
DefectTitForTat,GraaskampStrategy,1489,1489
DefectTitForTat,GrofmanStrategy,4217,4212
DefectTitForTat,Grudger,1408,1408
DefectTitForTat,HarringtonStrategy,4217,4212
DefectTitForTat,JossStrategy,1408,1408
DefectTitForTat,Malthrin,1408,1408
DefectTitForTat,MaxMax,1405,1405
DefectTitForTat,MiniMax,1405,1405
DefectTitForTat,NameWithheld,1416,1416
DefectTitForTat,RandomStrategy,3157,3157
DefectTitForTat,TitForTat,3515,3510
Feld,Friedman,1518,1518
Feld,GraaskampStrategy,1488,1483
Feld,GrofmanStrategy,4053,2023
Feld,Grudger,1480,1480
Feld,HarringtonStrategy,1407,1412
Feld,JossStrategy,1435,1440
Feld,Malthrin,1424,1424
Feld,MaxMax,1404,1409
Feld,MiniMax,1404,1409
Feld,NameWithheld,1404,1409
Feld,RandomStrategy,3560,1980
Feld,TitForTat,1465,1460
Friedman,GraaskampStrategy,1546,1501
Friedman,GrofmanStrategy,4215,4215
Friedman,Grudger,4215,4215
Friedman,HarringtonStrategy,1412,1407
Friedman,JossStrategy,1438,1438
Friedman,Malthrin,4215,4215
Friedman,MaxMax,1404,1409
Friedman,MiniMax,1404,1409
Friedman,NameWithheld,1412,1407
Friedman,RandomStrategy,4120,730
Friedman,TitForTat,4215,4215
GraaskampStrategy,GrofmanStrategy,4217,4212
GraaskampStrategy,Grudger,1501,1546
GraaskampStrategy,HarringtonStrategy,1404,1409
GraaskampStrategy,JossStrategy,1491,1491
GraaskampStrategy,Malthrin,1501,1546
GraaskampStrategy,MaxMax,1404,1409
GraaskampStrategy,MiniMax,1404,1409
GraaskampStrategy,NameWithheld,1413,1418
GraaskampStrategy,RandomStrategy,4114,829
GraaskampStrategy,TitForTat,4212,4212
GrofmanStrategy,Grudger,4215,4215
GrofmanStrategy,HarringtonStrategy,4212,4212
GrofmanStrategy,JossStrategy,3390,3975
GrofmanStrategy,Malthrin,4215,4215
GrofmanStrategy,MaxMax,584,4689
GrofmanStrategy,MiniMax,603,4613
GrofmanStrategy,NameWithheld,598,4643
GrofmanStrategy,RandomStrategy,2821,3916
GrofmanStrategy,TitForTat,4215,4215
Grudger,HarringtonStrategy,4215,4215
Grudger,JossStrategy,1414,1414
Grudger,Malthrin,4215,4215
Grudger,MaxMax,1404,1409
Grudger,MiniMax,1404,1409
Grudger,NameWithheld,1420,1405
Grudger,RandomStrategy,4212,712
Grudger,TitForTat,4215,4215
HarringtonStrategy,JossStrategy,1456,1456
HarringtonStrategy,Malthrin,4215,4215
HarringtonStrategy,MaxMax,1403,1413
HarringtonStrategy,MiniMax,1405,1405
HarringtonStrategy,NameWithheld,1417,1417
HarringtonStrategy,RandomStrategy,4211,726
HarringtonStrategy,TitForTat,4211,4211
JossStrategy,Malthrin,1414,1414
JossStrategy,MaxMax,1404,1409
JossStrategy,MiniMax,1404,1409
JossStrategy,NameWithheld,1413,1418
JossStrategy,RandomStrategy,3210,2890
JossStrategy,TitForTat,1427,1422
Malthrin,MaxMax,1404,1409
Malthrin,MiniMax,1404,1409
Malthrin,NameWithheld,1424,1404
Malthrin,RandomStrategy,4302,687
Malthrin,TitForTat,4215,4215
MaxMax,MiniMax,1405,1405
MaxMax,NameWithheld,1417,1402
MaxMax,RandomStrategy,4277,687
MaxMax,TitForTat,1409,1404
MiniMax,NameWithheld,1425,1400
MiniMax,RandomStrategy,4229,699
MiniMax,TitForTat,1409,1404
NameWithheld,RandomStrategy,4252,702
NameWithheld,TitForTat,1417,1412
RandomStrategy,TitForTat,3051,3051
,,,
final score,TitForTat,52990,
final score,GrofmanStrategy,52749,
final score,TidemanAndChieruzzi,51755,
final score,AlwaysCoop,50451,
final score,Malthrin,49445,
final score,Grudger,49407,
final score,Davis,46694,
final score,Friedman,46566,
final score,HarringtonStrategy,46443,
final score,GraaskampStrategy,38452,
final score,DefectTitForTat,36325,
final score,MaxMax,35757,
final score,NameWithheld,35665,
final score,MiniMax,35633,
final score,AlwaysDefect,35589,
final score,Feld,33291,
final score,JossStrategy,31608,
final score,RandomStrategy,29020,
