Player 1,Player 2,Score 1,Score 2
TidemanAndChieruzzi,Davis,1065,1060
TidemanAndChieruzzi,DefectTitForTat,358,358
TidemanAndChieruzzi,Feld,438,438
TidemanAndChieruzzi,Friedman,1065,1060
TidemanAndChieruzzi,GraaskampStrategy,1066,1046
TidemanAndChieruzzi,GrofmanStrategy,1065,1060
TidemanAndChieruzzi,Grudger,1065,1060
TidemanAndChieruzzi,HarringtonStrategy,1065,1060
TidemanAndChieruzzi,JossStrategy,388,388
TidemanAndChieruzzi,Malthrin,1065,1060
TidemanAndChieruzzi,MaxMax,354,359
TidemanAndChieruzzi,MiniMax,354,359
TidemanAndChieruzzi,NameWithheld,357,362
TidemanAndChieruzzi,RandomStrategy,976,396
TidemanAndChieruzzi,TitForTat,1065,1060
Davis,DefectTitForTat,378,378
Davis,Feld,432,437
Davis,Friedman,1065,1065
Davis,GraaskampStrategy,496,451
Davis,GrofmanStrategy,1065,1065
Davis,Grudger,1065,1065
Davis,HarringtonStrategy,1065,1065
Davis,JossStrategy,378,378
Davis,Malthrin,1065,1065
Davis,MaxMax,344,399
Davis,MiniMax,344,399
Davis,NameWithheld,370,390
Davis,RandomStrategy,1042,217
Davis,TitForTat,1065,1065
DefectTitForTat,Feld,433,433
DefectTitForTat,Friedman,358,358
DefectTitForTat,GraaskampStrategy,439,439
DefectTitForTat,GrofmanStrategy,1066,1061
DefectTitForTat,Grudger,358,358
DefectTitForTat,HarringtonStrategy,355,355
DefectTitForTat,JossStrategy,358,358
DefectTitForTat,Malthrin,358,358
DefectTitForTat,MaxMax,355,355
DefectTitForTat,MiniMax,355,355
DefectTitForTat,NameWithheld,358,358
DefectTitForTat,RandomStrategy,831,826
DefectTitForTat,TitForTat,890,885
Feld,Friedman,452,452
Feld,GraaskampStrategy,673,553
Feld,GrofmanStrategy,1016,616
Feld,Grudger,439,434
Feld,HarringtonStrategy,408,408
Feld,JossStrategy,397,402
Feld,Malthrin,415,410
Feld,MaxMax,354,359
Feld,MiniMax,354,359
Feld,NameWithheld,367,372
Feld,RandomStrategy,902,567
Feld,TitForTat,399,394
Friedman,GraaskampStrategy,496,451
Friedman,GrofmanStrategy,1065,1065
Friedman,Grudger,1065,1065
Friedman,HarringtonStrategy,366,356
Friedman,JossStrategy,358,363
Friedman,Malthrin,1065,1065
Friedman,MaxMax,354,359
Friedman,MiniMax,354,359
Friedman,NameWithheld,364,359
Friedman,RandomStrategy,1102,172
Friedman,TitForTat,1065,1065
GraaskampStrategy,GrofmanStrategy,1064,1059
GraaskampStrategy,Grudger,451,496
GraaskampStrategy,HarringtonStrategy,451,496
GraaskampStrategy,JossStrategy,384,389
GraaskampStrategy,Malthrin,451,496
GraaskampStrategy,MaxMax,354,359
GraaskampStrategy,MiniMax,354,359
GraaskampStrategy,NameWithheld,357,362
GraaskampStrategy,RandomStrategy,994,289
GraaskampStrategy,TitForTat,1062,1062
GrofmanStrategy,Grudger,1065,1065
GrofmanStrategy,HarringtonStrategy,1060,1065
GrofmanStrategy,JossStrategy,825,975
GrofmanStrategy,Malthrin,1065,1065
GrofmanStrategy,MaxMax,142,1207
GrofmanStrategy,MiniMax,148,1183
GrofmanStrategy,NameWithheld,157,1182
GrofmanStrategy,RandomStrategy,693,1008
GrofmanStrategy,TitForTat,1065,1065
Grudger,HarringtonStrategy,1065,1065
Grudger,JossStrategy,370,370
Grudger,Malthrin,1065,1065
Grudger,MaxMax,354,359
Grudger,MiniMax,354,359
Grudger,NameWithheld,358,358
Grudger,RandomStrategy,1108,178
Grudger,TitForTat,1065,1065
HarringtonStrategy,JossStrategy,361,361
HarringtonStrategy,Malthrin,1065,1065
HarringtonStrategy,MaxMax,353,363
HarringtonStrategy,MiniMax,353,363
HarringtonStrategy,NameWithheld,364,359
HarringtonStrategy,RandomStrategy,1083,173
HarringtonStrategy,TitForTat,1065,1065
JossStrategy,Malthrin,368,368
JossStrategy,MaxMax,354,359
JossStrategy,MiniMax,354,359
JossStrategy,NameWithheld,360,365
JossStrategy,RandomStrategy,833,758
JossStrategy,TitForTat,386,381
Malthrin,MaxMax,354,359
Malthrin,MiniMax,354,359
Malthrin,NameWithheld,374,354
Malthrin,RandomStrategy,1034,189
Malthrin,TitForTat,1065,1065
MaxMax,MiniMax,355,355
MaxMax,NameWithheld,367,352
MaxMax,RandomStrategy,1055,180
MaxMax,TitForTat,359,354
MiniMax,NameWithheld,363,353
MiniMax,RandomStrategy,1015,190
MiniMax,TitForTat,359,354
NameWithheld,RandomStrategy,1033,193
NameWithheld,TitForTat,368,363
RandomStrategy,TitForTat,780,780
,,,
final score,GrofmanStrategy,12146,
final score,TitForTat,12023,
final score,TidemanAndChieruzzi,11746,
final score,Grudger,11282,
final score,Davis,11234,
final score,Malthrin,11198,
final score,Friedman,10589,
final score,HarringtonStrategy,10514,
final score,GraaskampStrategy,8862,
final score,Feld,7484,
final score,DefectTitForTat,7250,
final score,MaxMax,6973,
final score,NameWithheld,6927,
final score,MiniMax,6905,
final score,JossStrategy,6639,
final score,RandomStrategy,6116,
