Player 1,Player 2,Score 1,Score 2
TidemanAndChieruzzi,AlwaysCoop,3769,3759
TidemanAndChieruzzi,AlwaysDefect,1254,1259
TidemanAndChieruzzi,Davis,3765,3760
TidemanAndChieruzzi,DefectTitForTat,1258,1258
TidemanAndChieruzzi,Feld,1304,1304
TidemanAndChieruzzi,Friedman,3765,3760
TidemanAndChieruzzi,GraaskampStrategy,3766,3746
TidemanAndChieruzzi,GrofmanStrategy,3769,3759
TidemanAndChieruzzi,Grudger,3765,3760
TidemanAndChieruzzi,HarringtonStrategy,3765,3760
TidemanAndChieruzzi,JossStrategy,1286,1286
TidemanAndChieruzzi,Malthrin,3765,3760
TidemanAndChieruzzi,MaxMax,1254,1259
TidemanAndChieruzzi,MiniMax,1254,1259
TidemanAndChieruzzi,NameWithheld,1266,1256
TidemanAndChieruzzi,RandomStrategy,3520,1185
TidemanAndChieruzzi,TitForTat,3765,3760
AlwaysCoop,AlwaysDefect,0,6275
AlwaysCoop,Davis,3765,3765
AlwaysCoop,DefectTitForTat,3762,3767
AlwaysCoop,Feld,2106,4871
AlwaysCoop,Friedman,3765,3765
AlwaysCoop,GraaskampStrategy,3762,3767
AlwaysCoop,GrofmanStrategy,3765,3765
AlwaysCoop,Grudger,3765,3765
AlwaysCoop,HarringtonStrategy,3759,3769
AlwaysCoop,JossStrategy,3372,4027
AlwaysCoop,Malthrin,3765,3765
AlwaysCoop,MaxMax,0,6275
AlwaysCoop,MiniMax,0,6275
AlwaysCoop,NameWithheld,18,6263
AlwaysCoop,RandomStrategy,1884,5019
AlwaysCoop,TitForTat,3765,3765
AlwaysDefect,Davis,1299,1244
AlwaysDefect,DefectTitForTat,1255,1255
AlwaysDefect,Feld,1259,1254
AlwaysDefect,Friedman,1259,1254
AlwaysDefect,GraaskampStrategy,1259,1254
AlwaysDefect,GrofmanStrategy,4183,523
AlwaysDefect,Grudger,1259,1254
AlwaysDefect,HarringtonStrategy,1259,1254
AlwaysDefect,JossStrategy,1259,1254
AlwaysDefect,Malthrin,1259,1254
AlwaysDefect,MaxMax,1255,1255
AlwaysDefect,MiniMax,1255,1255
AlwaysDefect,NameWithheld,1267,1252
AlwaysDefect,RandomStrategy,3759,629
AlwaysDefect,TitForTat,1259,1254
Davis,DefectTitForTat,1278,1278
Davis,Feld,1312,1317
Davis,Friedman,3765,3765
Davis,GraaskampStrategy,1396,1351
Davis,GrofmanStrategy,3765,3765
Davis,Grudger,3765,3765
Davis,HarringtonStrategy,1275,1280
Davis,JossStrategy,1274,1279
Davis,Malthrin,3765,3765
Davis,MaxMax,1244,1299
Davis,MiniMax,1244,1299
Davis,NameWithheld,1285,1280
Davis,RandomStrategy,3723,673
Davis,TitForTat,3765,3765
DefectTitForTat,Feld,1288,1288
DefectTitForTat,Friedman,1258,1258
DefectTitForTat,GraaskampStrategy,1339,1339
DefectTitForTat,GrofmanStrategy,3751,3746
DefectTitForTat,Grudger,1258,1258
DefectTitForTat,HarringtonStrategy,1261,1261
DefectTitForTat,JossStrategy,1267,1267
DefectTitForTat,Malthrin,1258,1258
DefectTitForTat,MaxMax,1255,1255
DefectTitForTat,MiniMax,1255,1255
DefectTitForTat,NameWithheld,1266,1266
DefectTitForTat,RandomStrategy,2768,2763
DefectTitForTat,TitForTat,3140,3135
Feld,Friedman,1288,1288
Feld,GraaskampStrategy,1324,1319
Feld,GrofmanStrategy,3558,1918
Feld,Grudger,1296,1296
Feld,HarringtonStrategy,1355,1355
Feld,JossStrategy,1288,1293
Feld,Malthrin,1366,1366
Feld,MaxMax,1254,1259
Feld,MiniMax,1254,1259
Feld,NameWithheld,1262,1267
Feld,RandomStrategy,3232,1877
Feld,TitForTat,1349,1344
Friedman,GraaskampStrategy,1396,1351
Friedman,GrofmanStrategy,3765,3765
Friedman,Grudger,3765,3765
Friedman,HarringtonStrategy,1262,1257
Friedman,JossStrategy,1272,1272
Friedman,Malthrin,3765,3765
Friedman,MaxMax,1254,1259
Friedman,MiniMax,1254,1259
Friedman,NameWithheld,1270,1255
Friedman,RandomStrategy,3804,629
Friedman,TitForTat,3765,3765
GraaskampStrategy,GrofmanStrategy,3734,3779
GraaskampStrategy,Grudger,1351,1396
GraaskampStrategy,HarringtonStrategy,1351,1396
GraaskampStrategy,JossStrategy,1285,1290
GraaskampStrategy,Malthrin,1351,1396
GraaskampStrategy,MaxMax,1254,1259
GraaskampStrategy,MiniMax,1254,1259
GraaskampStrategy,NameWithheld,1263,1268
GraaskampStrategy,RandomStrategy,3712,732
GraaskampStrategy,TitForTat,3762,3762
GrofmanStrategy,Grudger,3765,3765
GrofmanStrategy,HarringtonStrategy,3765,3765
GrofmanStrategy,JossStrategy,3056,3566
GrofmanStrategy,Malthrin,3765,3765
GrofmanStrategy,MaxMax,519,4199
GrofmanStrategy,MiniMax,517,4207
