Player 1,Player 2,Score 1,Score 2
TidemanAndChieruzzi,Davis,765,760
TidemanAndChieruzzi,DefectTitForTat,258,258
TidemanAndChieruzzi,Feld,320,320
TidemanAndChieruzzi,Friedman,765,760
TidemanAndChieruzzi,GraaskampStrategy,766,746
TidemanAndChieruzzi,GrofmanStrategy,765,760
TidemanAndChieruzzi,Grudger,765,760
TidemanAndChieruzzi,HarringtonStrategy,765,760
TidemanAndChieruzzi,JossStrategy,310,310
TidemanAndChieruzzi,Malthrin,765,760
TidemanAndChieruzzi,MiniMax,254,259
TidemanAndChieruzzi,NameWithheld,262,262
TidemanAndChieruzzi,RandomStrategy,708,288
TidemanAndChieruzzi,TitForTat,765,760
Davis,DefectTitForTat,278,278
Davis,Feld,292,292
Davis,Friedman,765,765
Davis,GraaskampStrategy,396,351
Davis,GrofmanStrategy,765,765
Davis,Grudger,765,765
Davis,HarringtonStrategy,275,280
Davis,JossStrategy,288,293
Davis,Malthrin,765,765
Davis,MiniMax,244,299
Davis,NameWithheld,262,292
Davis,RandomStrategy,751,166
Davis,TitForTat,765,765
DefectTitForTat,Feld,321,321
DefectTitForTat,Friedman,258,258
DefectTitForTat,GraaskampStrategy,339,339
DefectTitForTat,GrofmanStrategy,758,753
DefectTitForTat,Grudger,258,258
DefectTitForTat,HarringtonStrategy,255,255
DefectTitForTat,JossStrategy,276,276
DefectTitForTat,Malthrin,258,258
DefectTitForTat,MiniMax,255,255
DefectTitForTat,NameWithheld,267,267
DefectTitForTat,RandomStrategy,557,552
DefectTitForTat,TitForTat,640,635
Feld,Friedman,304,304
Feld,GraaskampStrategy,350,350
Feld,GrofmanStrategy,739,514
Feld,Grudger,382,382
Feld,HarringtonStrategy,290,290
Feld,JossStrategy,312,317
Feld,Malthrin,360,360
Feld,MiniMax,254,259
Feld,NameWithheld,260,265
Feld,RandomStrategy,625,455
Feld,TitForTat,354,349
Friedman,GraaskampStrategy,396,351
Friedman,GrofmanStrategy,765,765
Friedman,Grudger,765,765
Friedman,HarringtonStrategy,765,765
Friedman,JossStrategy,260,260
Friedman,Malthrin,765,765
Friedman,MiniMax,254,259
Friedman,NameWithheld,258,258
Friedman,RandomStrategy,742,137
Friedman,TitForTat,765,765
GraaskampStrategy,GrofmanStrategy,752,767
GraaskampStrategy,Grudger,351,396
GraaskampStrategy,HarringtonStrategy,351,396
GraaskampStrategy,JossStrategy,309,314
GraaskampStrategy,Malthrin,351,396
GraaskampStrategy,MiniMax,254,259
GraaskampStrategy,NameWithheld,263,268
GraaskampStrategy,RandomStrategy,698,228
GraaskampStrategy,TitForTat,762,762
GrofmanStrategy,Grudger,765,765
GrofmanStrategy,HarringtonStrategy,765,765
GrofmanStrategy,JossStrategy,641,741
GrofmanStrategy,Malthrin,765,765
GrofmanStrategy,MiniMax,101,871
GrofmanStrategy,NameWithheld,113,848
GrofmanStrategy,RandomStrategy,510,755
GrofmanStrategy,TitForTat,765,765
Grudger,HarringtonStrategy,262,257
Grudger,JossStrategy,260,260
Grudger,Malthrin,765,765
Grudger,MiniMax,254,259
Grudger,NameWithheld,272,257
Grudger,RandomStrategy,754,134
Grudger,TitForTat,765,765
HarringtonStrategy,JossStrategy,283,283
HarringtonStrategy,Malthrin,765,765
HarringtonStrategy,MiniMax,254,259
HarringtonStrategy,NameWithheld,268,258
HarringtonStrategy,RandomStrategy,730,140
HarringtonStrategy,TitForTat,765,765
JossStrategy,Malthrin,273,268
JossStrategy,MiniMax,254,259
JossStrategy,NameWithheld,264,269
JossStrategy,RandomStrategy,602,522
JossStrategy,TitForTat,359,354
Malthrin,MiniMax,254,259
Malthrin,NameWithheld,270,255
Malthrin,RandomStrategy,778,128
Malthrin,TitForTat,765,765
MiniMax,NameWithheld,263,253
MiniMax,RandomStrategy,667,152
MiniMax,TitForTat,259,254
NameWithheld,RandomStrategy,784,134
NameWithheld,TitForTat,268,263
RandomStrategy,TitForTat,574,569
,,,
final score,GrofmanStrategy,8749,
final score,TitForTat,8536,
final score,TidemanAndChieruzzi,8233,
final score,Malthrin,7934,
final score,Friedman,7822,
final score,Grudger,7423,
final score,Davis,7371,
final score,HarringtonStrategy,6833,
final score,GraaskampStrategy,6228,
final score,Feld,5163,
final score,DefectTitForTat,4978,
final score,JossStrategy,4806,
final score,NameWithheld,4804,
final score,MiniMax,4686,
final score,RandomStrategy,4365,
